datetime,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
202109041515,75,43,29,72,81,38,14,50,65,27,36,28,36,28,74,46,28,74,82,40,19,51,61,26,37,30,35,29
202109041530,74,42,32,69,82,35,17,49,62,28,32,34,34,27,73,45,31,72,83,37,22,50,58,27,33,35,33,28
202109041545,77,40,28,67,87,37,17,49,63,26,36,36,33,26,76,43,27,70,88,39,22,50,59,25,36,37,33,27
202109041600,80,45,29,74,79,40,18,51,56,24,32,35,34,27,78,48,28,77,81,41,22,52,53,23,33,36,34,28
202109041615,81,42,28,79,83,35,14,46,57,23,34,33,37,29,80,45,27,82,84,36,19,47,53,22,35,35,36,30
202109041630,83,38,28,83,86,36,17,49,67,24,35,33,45,27,82,42,27,86,87,38,22,50,63,23,37,35,43,28
202109041645,86,37,31,83,84,42,20,47,65,27,33,33,39,27,85,41,30,86,85,43,25,48,61,26,34,34,38,28
202109041700,81,33,35,84,81,42,20,50,72,25,31,35,37,28,80,37,34,86,82,44,26,51,67,24,32,36,36,30
202109041715,84,43,35,91,91,45,17,55,71,28,37,38,37,36,83,47,34,93,92,46,23,56,66,27,38,40,37,37
202109041730,88,47,30,94,93,45,18,47,78,30,46,39,40,31,87,50,29,96,94,47,24,48,73,29,46,40,39,32
202109041745,95,47,27,92,93,44,16,53,76,32,44,38,42,30,93,51,26,95,95,46,22,54,70,31,44,39,41,30
202109041800,99,49,34,86,103,48,19,61,80,30,42,43,41,35,98,53,33,90,104,50,26,62,74,29,43,45,40,36
202109041815,101,54,41,80,107,50,13,64,82,32,46,43,38,34,100,58,40,84,108,52,20,65,76,30,46,45,38,36
202109041830,110,55,37,89,112,54,13,56,89,31,44,44,41,35,109,60,36,93,113,56,21,57,82,30,44,46,40,36
202109041845,119,60,41,97,116,59,13,48,85,35,45,38,41,36,118,65,40,101,118,60,21,50,78,33,45,40,40,38
202109041900,118,62,43,95,114,54,15,53,81,38,49,41,37,39,117,67,42,100,116,55,22,55,75,36,48,43,37,40
202109041915,125,65,41,96,104,53,15,55,81,36,52,41,39,40,123,70,40,101,107,54,22,57,75,35,51,43,38,41
202109041930,137,58,41,95,104,60,15,53,79,32,57,37,40,42,134,65,40,101,108,60,22,55,73,31,56,40,39,43
202109041945,118,56,44,94,105,60,20,51,79,26,56,37,35,40,116,61,43,99,107,60,26,53,74,25,54,40,34,41
202109042000,115,62,48,94,110,58,18,49,81,30,48,36,40,43,114,66,47,98,112,59,25,51,75,29,48,39,39,45
202109042015,106,61,43,109,97,57,17,48,82,25,51,33,34,40,104,65,42,112,99,58,24,50,76,24,50,36,33,41
202109042030,105,58,45,103,94,55,21,48,82,25,49,32,34,35,103,62,43,106,96,56,27,50,77,25,48,34,33,37
202109042045,101,56,47,93,89,58,24,43,81,26,49,31,38,31,99,60,45,96,91,59,30,45,76,26,49,33,37,33
202109042100,85,58,42,95,84,59,23,40,85,27,53,33,37,31,84,60,40,97,85,60,30,42,79,27,52,35,36,33
202109042115,81,58,38,89,80,51,21,42,82,27,53,31,35,36,80,60,37,91,82,53,28,44,76,26,52,34,34,37
202109042130,81,59,39,92,78,50,23,45,91,29,48,33,36,34,79,61,38,94,80,53,30,47,85,28,47,35,35,35
