datetime,1,2,3,4,5
202109051915,12.0,15.0,40.0,10.0,7.0
202109051930,13.0,14.0,35.0,10.0,7.0
202109051945,13.0,14.0,36.0,8.0,8.0
202109052000,15.0,13.0,39.0,8.0,8.0
202109052015,13.0,14.0,36.0,7.0,8.0
202109052030,13.0,17.0,30.0,9.0,6.0
202109052045,13.0,16.0,34.0,6.0,6.0
202109052100,10.0,17.0,34.0,7.0,7.0
202109052115,11.0,15.0,29.0,8.0,6.0
202109052130,10.0,15.0,29.0,7.0,5.0
202109052145,8.0,15.0,33.0,8.0,6.0
202109052200,11.0,18.0,30.0,11.0,5.0
202109052215,8.0,17.0,32.0,9.0,6.0
202109052230,8.0,15.0,30.0,9.0,7.0
202109052245,10.0,14.0,36.0,8.0,5.0
202109052300,12.0,16.0,44.0,5.0,4.0
202109052315,9.0,15.0,43.0,3.0,4.0
202109052330,8.0,15.0,31.0,7.0,5.0
202109052345,7.0,16.0,21.0,6.0,3.0
202109060000,6.0,14.0,23.0,5.0,2.0
202109060015,6.0,13.0,22.0,5.0,3.0
202109060030,6.0,11.0,22.0,6.0,2.0
202109060045,6.0,11.0,20.0,6.0,2.0
202109060100,4.0,10.0,18.0,4.0,2.0
202109060115,1.0,11.0,20.0,5.0,2.0
202109060130,1.0,11.0,20.0,4.0,2.0
202109060145,1.0,11.0,18.0,4.0,2.0
202109060200,2.0,11.0,22.0,6.0,2.0
202109060215,2.0,13.0,21.0,5.0,3.0
202109060230,2.0,10.0,21.0,6.0,2.0
202109060245,1.0,8.0,22.0,5.0,2.0
202109060300,3.0,10.0,18.0,6.0,2.0
202109060315,4.0,11.0,17.0,5.0,0.0
202109060330,3.0,12.0,15.0,5.0,0.0
202109060345,3.0,14.0,16.0,3.0,0.0
202109060400,2.0,18.0,16.0,2.0,0.0
202109060415,0.0,20.0,18.0,3.0,0.0
202109060430,0.0,19.0,18.0,3.0,0.0
202109060445,0.0,17.0,19.0,3.0,0.0
202109060500,2.0,10.0,13.0,1.0,5.0
202109060515,3.0,10.0,14.0,2.0,5.0
202109060530,2.0,9.0,16.0,2.0,6.0
202109060545,3.0,11.0,18.0,3.0,3.0
202109060600,5.0,9.0,19.0,4.0,4.0
202109060615,6.0,9.0,16.0,5.0,4.0
202109060630,6.0,14.0,21.0,3.0,3.0
202109060645,7.0,14.0,23.0,6.0,4.0
202109060700,9.0,13.0,36.0,8.0,6.0
202109060715,11.0,12.0,44.0,10.0,6.0
202109060730,12.0,14.0,43.0,12.0,5.0
202109060745,13.0,20.0,41.0,15.0,5.0
202109060800,14.0,18.0,49.0,15.0,8.0
202109060815,10.0,11.0,41.0,16.0,6.0
202109060830,7.0,9.0,42.0,12.0,5.0
202109060845,8.0,11.0,42.0,12.0,6.0
202109060900,9.0,11.0,43.0,11.0,6.0
202109060915,9.0,9.0,34.0,12.0,4.0
202109060930,10.0,9.0,36.0,12.0,4.0
202109060945,7.0,9.0,39.0,14.0,7.0
202109061000,8.0,9.0,43.0,14.0,5.0
202109061015,10.0,8.0,37.0,14.0,6.0
202109061030,10.0,7.0,32.0,15.0,7.0
202109061045,8.0,9.0,31.0,15.0,7.0
202109061100,10.0,11.0,32.0,17.0,7.0
202109061115,11.0,14.0,33.0,17.0,6.0
202109061130,11.0,14.0,35.0,14.0,5.0
202109061145,8.0,13.0,35.0,14.0,8.0
202109061200,10.0,12.0,43.0,12.0,7.0
202109061215,9.0,11.0,57.0,9.0,7.0
202109061230,10.0,12.0,51.0,13.0,8.0
202109061245,9.0,11.0,37.0,11.0,8.0
202109061300,11.0,10.0,32.0,9.0,7.0
202109061315,9.0,13.0,35.0,10.0,8.0
202109061330,8.0,15.0,36.0,11.0,8.0
202109061345,9.0,11.0,37.0,13.0,9.0
202109061400,11.0,9.0,37.0,17.0,8.0
202109061415,7.0,8.0,36.0,16.0,10.0
202109061430,7.0,7.0,35.0,14.0,9.0
202109061445,7.0,7.0,40.0,12.0,7.0
202109061500,8.0,6.0,38.0,14.0,7.0
202109061515,7.0,9.0,34.0,14.0,8.0
202109061530,7.0,8.0,38.0,13.0,7.0
202109061545,7.0,7.0,39.0,13.0,7.0
202109061600,7.0,6.0,39.0,14.0,8.0
202109061615,8.0,8.0,38.0,13.0,7.0
202109061630,7.0,9.0,36.0,12.0,7.0
202109061645,9.0,13.0,37.0,12.0,8.0
202109061700,7.0,15.0,42.0,15.0,6.0
202109061715,8.0,19.0,45.0,11.0,6.0
202109061730,12.0,19.0,49.0,13.0,8.0
202109061745,12.0,16.0,57.0,14.0,6.0
202109061800,11.0,16.0,59.0,14.0,6.0
202109061815,8.0,17.0,53.0,15.0,7.0
202109061830,8.0,17.0,44.0,15.0,6.0
202109061845,9.0,21.0,40.0,13.0,9.0
202109061900,10.0,22.0,41.0,16.0,8.0
202109061915,10.0,18.0,43.0,14.0,9.0
202109061930,13.0,17.0,40.0,12.0,8.0
202109061945,17.0,20.0,35.0,12.0,8.0
202109062000,20.0,19.0,34.0,9.0,8.0
202109062015,17.0,18.0,34.0,8.0,8.0
202109062030,14.0,15.0,33.0,9.0,7.0
202109062045,14.0,15.0,35.0,8.0,5.0
202109062100,10.0,16.0,43.0,10.0,6.0
202109062115,12.0,15.0,35.0,10.0,6.0
202109062130,9.0,16.0,34.0,9.0,7.0
202109062145,8.0,17.0,33.0,8.0,7.0
202109062200,8.0,18.0,33.0,7.0,8.0
202109062215,8.0,16.0,33.0,7.0,6.0
202109062230,7.0,12.0,31.0,6.0,6.0
202109062245,10.0,11.0,36.0,7.0,5.0
202109062300,10.0,12.0,40.0,4.0,5.0
202109062315,9.0,10.0,37.0,4.0,5.0
202109062330,9.0,8.0,26.0,8.0,4.0
202109062345,7.0,6.0,19.0,7.0,6.0
202109070000,7.0,5.0,20.0,7.0,7.0
202109070015,7.0,6.0,18.0,6.0,5.0
202109070030,6.0,5.0,20.0,5.0,5.0
202109070045,6.0,5.0,19.0,5.0,6.0
202109070100,6.0,7.0,21.0,5.0,5.0
202109070115,3.0,8.0,23.0,5.0,2.0
202109070130,3.0,7.0,20.0,6.0,2.0
202109070145,3.0,7.0,19.0,4.0,2.0
202109070200,3.0,5.0,21.0,6.0,2.0
202109070215,2.0,8.0,18.0,3.0,3.0
202109070230,3.0,5.0,17.0,2.0,3.0
202109070245,2.0,7.0,16.0,3.0,3.0
202109070300,3.0,7.0,17.0,5.0,3.0
202109070315,3.0,6.0,18.0,4.0,0.0
202109070330,4.0,8.0,16.0,4.0,0.0
202109070345,3.0,6.0,16.0,4.0,0.0
202109070400,1.0,10.0,15.0,3.0,0.0
202109070415,0.0,11.0,14.0,2.0,0.0
202109070430,0.0,12.0,16.0,2.0,0.0
202109070445,0.0,12.0,13.0,4.0,0.0
202109070500,2.0,6.0,12.0,3.0,3.0
202109070515,3.0,6.0,16.0,3.0,3.0
202109070530,2.0,7.0,17.0,2.0,4.0
202109070545,3.0,8.0,17.0,2.0,4.0
202109070600,7.0,7.0,17.0,4.0,5.0
202109070615,4.0,10.0,14.0,4.0,7.0
202109070630,5.0,12.0,18.0,4.0,7.0
202109070645,7.0,13.0,23.0,5.0,6.0
202109070700,7.0,12.0,32.0,10.0,4.0
202109070715,9.0,13.0,42.0,12.0,5.0
202109070730,11.0,13.0,39.0,10.0,4.0
202109070745,11.0,14.0,36.0,15.0,6.0
202109070800,11.0,11.0,39.0,15.0,4.0
202109070815,10.0,9.0,38.0,13.0,6.0
202109070830,6.0,8.0,35.0,12.0,5.0
202109070845,8.0,8.0,30.0,12.0,5.0
202109070900,8.0,9.0,30.0,14.0,4.0
202109070915,8.0,7.0,33.0,14.0,7.0
202109070930,6.0,8.0,32.0,14.0,7.0
202109070945,6.0,7.0,35.0,15.0,5.0
202109071000,9.0,6.0,37.0,15.0,8.0
202109071015,10.0,8.0,33.0,18.0,6.0
202109071030,9.0,8.0,33.0,17.0,6.0
202109071045,8.0,10.0,31.0,15.0,6.0
202109071100,8.0,9.0,29.0,18.0,6.0
202109071115,10.0,16.0,33.0,17.0,7.0
202109071130,11.0,18.0,34.0,12.0,7.0
202109071145,9.0,14.0,38.0,12.0,7.0
202109071200,11.0,13.0,51.0,10.0,6.0
202109071215,12.0,13.0,55.0,8.0,3.0
202109071230,10.0,15.0,45.0,12.0,6.0
202109071245,10.0,14.0,40.0,10.0,3.0
202109071300,12.0,14.0,33.0,8.0,4.0
202109071315,11.0,16.0,29.0,11.0,4.0
202109071330,10.0,19.0,31.0,13.0,5.0
202109071345,11.0,17.0,34.0,13.0,6.0
202109071400,9.0,10.0,39.0,13.0,7.0
202109071415,8.0,8.0,37.0,17.0,6.0
202109071430,7.0,8.0,35.0,17.0,8.0
202109071445,9.0,8.0,37.0,15.0,6.0
202109071500,11.0,8.0,42.0,15.0,7.0
202109071515,11.0,9.0,42.0,12.0,7.0
202109071530,8.0,9.0,38.0,13.0,7.0
202109071545,8.0,10.0,33.0,12.0,6.0
202109071600,8.0,9.0,35.0,12.0,7.0
202109071615,10.0,10.0,36.0,15.0,6.0
202109071630,9.0,12.0,41.0,13.0,9.0
202109071645,10.0,15.0,39.0,15.0,9.0
202109071700,10.0,15.0,42.0,10.0,10.0
202109071715,11.0,16.0,45.0,14.0,11.0
202109071730,14.0,19.0,48.0,12.0,10.0
202109071745,14.0,20.0,50.0,16.0,10.0
202109071800,14.0,20.0,55.0,14.0,9.0
202109071815,10.0,19.0,57.0,16.0,9.0
202109071830,11.0,19.0,52.0,12.0,6.0
202109071845,10.0,22.0,46.0,17.0,9.0
202109071900,9.0,17.0,50.0,16.0,10.0
202109071915,10.0,15.0,47.0,14.0,8.0
202109071930,11.0,17.0,47.0,15.0,10.0
202109071945,17.0,18.0,48.0,13.0,12.0
202109072000,21.0,18.0,45.0,12.0,9.0
202109072015,16.0,17.0,43.0,12.0,11.0
202109072030,16.0,17.0,41.0,10.0,7.0
202109072045,12.0,18.0,42.0,11.0,8.0
202109072100,10.0,16.0,41.0,13.0,9.0
202109072115,10.0,19.0,35.0,9.0,9.0
202109072130,13.0,18.0,40.0,10.0,9.0
202109072145,15.0,16.0,36.0,10.0,7.0
202109072200,13.0,15.0,37.0,11.0,6.0
202109072215,13.0,17.0,38.0,8.0,8.0
202109072230,13.0,17.0,34.0,7.0,8.0
202109072245,11.0,13.0,36.0,9.0,8.0
202109072300,11.0,16.0,35.0,6.0,7.0
202109072315,11.0,14.0,35.0,5.0,3.0
202109072330,8.0,9.0,26.0,11.0,1.0
202109072345,9.0,9.0,23.0,9.0,1.0
202109080000,6.0,6.0,19.0,6.0,3.0
202109080015,6.0,6.0,16.0,5.0,3.0
202109080030,5.0,5.0,16.0,6.0,4.0
202109080045,4.0,7.0,15.0,5.0,3.0
202109080100,4.0,9.0,19.0,5.0,4.0
202109080115,2.0,8.0,21.0,4.0,2.0
202109080130,3.0,6.0,19.0,5.0,1.0
202109080145,3.0,9.0,18.0,3.0,1.0
202109080200,3.0,10.0,19.0,4.0,1.0
202109080215,3.0,9.0,17.0,4.0,1.0
202109080230,3.0,8.0,17.0,5.0,1.0
202109080245,3.0,6.0,17.0,4.0,1.0
202109080300,3.0,7.0,17.0,5.0,1.0
202109080315,3.0,8.0,14.0,4.0,0.0
202109080330,2.0,8.0,15.0,2.0,0.0
202109080345,3.0,8.0,17.0,4.0,0.0
202109080400,2.0,9.0,17.0,4.0,0.0
202109080415,0.0,11.0,15.0,5.0,0.0
202109080430,0.0,12.0,12.0,2.0,0.0
202109080445,0.0,11.0,15.0,2.0,0.0
202109080500,1.0,7.0,11.0,4.0,3.0
202109080515,4.0,5.0,10.0,4.0,2.0
202109080530,3.0,5.0,14.0,3.0,2.0
202109080545,4.0,8.0,13.0,4.0,3.0
202109080600,5.0,7.0,21.0,6.0,3.0
202109080615,5.0,8.0,26.0,7.0,5.0
202109080630,7.0,11.0,27.0,10.0,6.0
202109080645,8.0,11.0,27.0,13.0,7.0
202109080700,9.0,13.0,38.0,13.0,6.0
202109080715,9.0,12.0,41.0,11.0,6.0
202109080730,12.0,14.0,39.0,9.0,6.0
202109080745,13.0,14.0,42.0,13.0,5.0
202109080800,13.0,13.0,42.0,11.0,6.0
202109080815,11.0,9.0,41.0,12.0,6.0
202109080830,8.0,8.0,40.0,11.0,7.0
202109080845,9.0,9.0,36.0,13.0,9.0
202109080900,7.0,8.0,36.0,17.0,9.0
202109080915,9.0,8.0,38.0,15.0,8.0
202109080930,7.0,10.0,38.0,14.0,7.0
202109080945,9.0,11.0,38.0,15.0,8.0
202109081000,12.0,12.0,44.0,15.0,10.0
202109081015,10.0,12.0,36.0,13.0,11.0
202109081030,10.0,10.0,38.0,16.0,10.0
202109081045,15.0,12.0,34.0,15.0,9.0
202109081100,14.0,13.0,37.0,12.0,7.0
202109081115,10.0,14.0,36.0,14.0,6.0
202109081130,12.0,16.0,39.0,15.0,7.0
202109081145,11.0,16.0,37.0,14.0,9.0
202109081200,11.0,17.0,47.0,10.0,10.0
202109081215,12.0,17.0,58.0,8.0,7.0
202109081230,9.0,14.0,51.0,11.0,8.0
202109081245,8.0,14.0,38.0,13.0,8.0
202109081300,9.0,15.0,33.0,10.0,8.0
202109081315,10.0,14.0,34.0,12.0,8.0
202109081330,10.0,15.0,36.0,11.0,9.0
202109081345,12.0,13.0,39.0,13.0,7.0
202109081400,12.0,13.0,36.0,13.0,8.0
202109081415,11.0,13.0,41.0,12.0,8.0
202109081430,9.0,12.0,43.0,13.0,8.0
202109081445,9.0,13.0,43.0,12.0,11.0
202109081500,8.0,13.0,48.0,16.0,11.0
202109081515,8.0,11.0,38.0,15.0,8.0
202109081530,10.0,10.0,34.0,15.0,9.0
202109081545,9.0,9.0,35.0,16.0,9.0
202109081600,8.0,11.0,42.0,14.0,10.0
202109081615,9.0,13.0,38.0,15.0,10.0
202109081630,10.0,13.0,36.0,17.0,8.0
202109081645,12.0,15.0,39.0,17.0,10.0
202109081700,13.0,16.0,48.0,14.0,10.0
202109081715,12.0,18.0,44.0,13.0,11.0
202109081730,12.0,17.0,46.0,15.0,10.0
202109081745,14.0,19.0,52.0,14.0,10.0
202109081800,14.0,17.0,57.0,14.0,11.0
202109081815,13.0,21.0,55.0,16.0,9.0
202109081830,12.0,20.0,48.0,14.0,10.0
202109081845,13.0,18.0,51.0,16.0,11.0
202109081900,14.0,17.0,48.0,19.0,11.0
202109081915,13.0,19.0,42.0,17.0,9.0
